# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	236
#@/user_id	2e42a5ca-ae00-42ae-895b-bd8dc3014a55
ba 	吧	c=2 d=1.9218 t=236
man zu 	滿足	c=1 d=0.597501 t=236
mei 	每	c=1 d=0.427415 t=236
mei 	沒	c=1 d=0.915648 t=236
mei ge 	每個	c=1 d=0.477114 t=236
mei ji tian 	沒幾天	c=1 d=0.891366 t=236
mou ge 	某個	c=1 d=0.546074 t=236
mu qian 	目前	c=1 d=0.718924 t=236
na 	那	c=1 d=0.790571 t=236
na jiu 	那就	c=1 d=0.965605 t=236
neng gou 	能夠	c=1 d=0.594521 t=236
ni 	你	c=1 d=0.843531 t=236
ni jia 	你家	c=1 d=0.878095 t=236
ni xian lai 	你先來	c=1 d=0.865022 t=236
ni xian zai 	你現在	c=1 d=0.909373 t=236
nong 	弄	c=2 d=1.68316 t=236
nong cun 	農村	c=1 d=0.782705 t=236
pei zhi 	配置	c=2 d=1.36355 t=236
pei zhi de 	配置的	c=1 d=0.71177 t=236
qi dong 	啓動	c=1 d=0.637628 t=236
qi ta 	其他	c=1 d=0.522046 t=236
qi yong 	啓用	c=1 d=0.625002 t=236
qian yi 	遷移	c=1 d=0.327915 t=236
qie huan 	切換	c=1 d=0.995012 t=236
que ding 	確定	c=1 d=0.955997 t=236
re 	熱	c=1 d=0.348192 t=236
shang bao 	上報	c=1 d=0.398519 t=236
shang xian 	上線	c=1 d=0.318224 t=236
she bao 	社保	c=1 d=0.740818 t=236
shi 	是	c=1 d=0.798516 t=236
shi bu shi 	是不是	c=1 d=0.683861 t=236
shi xian 	實現	c=2 d=0.819835 t=236
shou bu dao 	收不到	c=1 d=0.554327 t=236
shou dao 	收到	c=1 d=0.396531 t=236
shu 	數	c=0 d=0.0733447 t=236
shuai 	帥	c=1 d=0.364219 t=236
suo you 	所有	c=2 d=1.40474 t=236
suo you de 	所有的	c=1 d=0.56836 t=236
tong ji 	統計	c=1 d=0.444858 t=236
wai di 	外地	c=1 d=0.778801 t=236
wang yi 	網易	c=1 d=0.311923 t=236
wen 	問	c=1 d=0.814647 t=236
wen jian 	文件	c=1 d=0.704688 t=236
wen ti 	問題	c=1 d=0.529935 t=236
wo 	我	c=1 d=0.806541 t=236
wu dao kou 	五道口	c=1 d=0.927743 t=236
xi jie 	細節	c=1 d=0.321422 t=236
xian lai 	先來	c=0 d=0.0860708 t=236
xian you 	現有	c=1 d=0.588605 t=236
xian zai 	現在	c=0 d=0.0904837 t=236
xiang 	向	c=1 d=0.402524 t=236
xiang guan 	相關	c=2 d=0.649379 t=236
xiao xi 	消息	c=1 d=0.442639 t=236
xie 	寫	c=5 d=2.13959 t=236
xie cheng 	協程	c=2 d=1.08945 t=236
xie ru 	寫入	c=1 d=0.66034 t=236
xing 	行	c=4 d=1.90476 t=236
xu 	須	c=1 d=0.562705 t=236
xu qiu 	需求	c=1 d=0.606531 t=236
xu yao 	需要	c=1 d=0.618783 t=236
xue xiao 	學校	c=1 d=0.918512 t=236
yao dian 	要點	c=1 d=0.331211 t=236
yi 	以	c=1 d=0.481909 t=236
yi chang 	異常	c=1 d=0.571209 t=236
yi ci 	一次	c=1 d=0.433874 t=236
yi ge 	一個	c=2 d=1.26896 t=236
yin yue 	音樂	c=1 d=0.315058 t=236
ying gai 	應該	c=1 d=0.794534 t=236
yong 	用	c=1 d=0.489192 t=236
yong bo 	永博	c=1 d=0.324652 t=236
you 	有	c=1 d=0.767206 t=236
you jian 	郵件	c=2 d=0.868627 t=236
yuan yin 	原因	c=1 d=0.524663 t=236
yun 	雲	c=1 d=0.313486 t=236
yun xing 	運行	c=2 d=1.12244 t=236
za 	咋	c=1 d=0.346456 t=236
zai 	在	c=3 d=1.6854 t=236
zai shuo 	再說	c=1 d=0.941765 t=236
zan shi 	暫時	c=1 d=0.460704 t=236
ze 	則	c=1 d=0.574072 t=236
zhe ge 	這個	c=1 d=0.831104 t=236
zheng li 	整理	c=1 d=0.323033 t=236
zhi 	值	c=1 d=0.486752 t=236
zhi yu 	治癒	c=1 d=0.511709 t=236
zhong 	中	c=5 d=2.36674 t=236
zhong jian 	中間	c=1 d=0.763379 t=236
zhong ying 	中英	c=1 d=0.99005 t=236
zhu 	住	c=1 d=0.913931 t=236
zuo 	做	c=1 d=0.491644 t=236
